timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2020-07-21T00:00:00.000Z";"2020-07-21T23:59:59.999Z";"2020-07-21T17:22:13.000Z";"2020-07-21T06:03:15.000Z";"2781";0.8729279865;1.0082536516;0.8603158688;0.9771657172;4299502.34;16852602.2014576;"2020-07-21T23:59:59.999Z"
"2020-07-20T00:00:00.000Z";"2020-07-20T23:59:59.999Z";"2020-07-20T00:03:32.000Z";"2020-07-20T13:16:32.000Z";"2781";0.9205151968;0.9215838947;0.8518778801;0.873089429;3036870.92;15057755.3103182;"2020-07-20T23:59:59.999Z"
"2020-07-19T00:00:00.000Z";"2020-07-19T23:59:59.999Z";"2020-07-19T00:03:23.000Z";"2020-07-19T19:56:26.000Z";"2781";0.9680040892;0.9703541474;0.8995154359;0.9203494876;2206671.02;15872927.8675157;"2020-07-19T23:59:59.999Z"
"2020-07-18T00:00:00.000Z";"2020-07-18T23:59:59.999Z";"2020-07-18T16:00:20.000Z";"2020-07-18T01:15:14.000Z";"2781";0.9775154481;1.0007162492;0.9317262896;0.9665834956;2923007.18;16670417.2869211;"2020-07-18T23:59:59.999Z"
"2020-07-17T00:00:00.000Z";"2020-07-17T23:59:59.999Z";"2020-07-17T13:55:12.000Z";"2020-07-17T00:17:18.000Z";"2781";0.8707610942;1.0468418785;0.8018844273;0.977837416;8973774.36;16864618.7937719;"2020-07-17T23:59:59.999Z"
"2020-07-16T00:00:00.000Z";"2020-07-16T23:59:59.999Z";"2020-07-16T18:45:21.000Z";"2020-07-16T23:57:24.000Z";"2781";1.2840388782;1.3749670775;0.8550437226;0.8724413774;7486567.81;15046966.0262034;"2020-07-16T23:59:59.999Z"
"2020-07-15T00:00:00.000Z";"2020-07-15T23:59:59.999Z";"2020-07-15T15:39:25.000Z";"2020-07-15T00:59:12.000Z";"2781";1.1475232798;1.3968347053;1.1414575574;1.2895980969;3355229.33;22241796.9042963;"2020-07-15T23:59:59.999Z"
"2020-07-14T00:00:00.000Z";"2020-07-14T23:59:59.999Z";"2020-07-14T04:31:30.000Z";"2020-07-14T11:46:11.000Z";"2781";1.1724756189;1.2460057862;1.1191661656;1.1480745421;2213135.15;19801055.4914822;"2020-07-14T23:59:59.999Z"
"2020-07-13T00:00:00.000Z";"2020-07-13T23:59:59.999Z";"2020-07-13T17:52:20.000Z";"2020-07-13T00:08:19.000Z";"2781";1.0167159585;1.2876625404;1.008884329;1.175734102;4062068.75;20278237.5664092;"2020-07-13T23:59:59.999Z"
"2020-07-12T00:00:00.000Z";"2020-07-12T23:59:59.999Z";"2020-07-12T20:25:21.000Z";"2020-07-12T01:20:18.000Z";"2781";0.9238560634;1.1309782125;0.9141171063;1.0167159585;4693370.51;17535715.8229986;"2020-07-12T23:59:59.999Z"
